[[15, 8, 3], 0.04632823266008177]
[[15, 9, 2], 0.046068099491054025]
[[15, 10, 1], 0.04572950914710226]
[[16, 5, 5], 0.045972925667953496]
[[16, 6, 4], 0.04593260151999242]
[[16, 7, 3], 0.04581235340489075]
[[16, 8, 2], 0.045614324326792584]
[[16, 9, 1], 0.04534198707984122]
[[17, 5, 4], 0.045281933637698224]
[[17, 6, 3], 0.045209532176205845]
[[17, 7, 2], 0.04506583802547122]
[[17, 8, 1], 0.04485303348078962]
[[18, 4, 4], 0.04457137499060043]
[[18, 5, 3], 0.04453880126649195]
[[18, 6, 2], 0.04444150783979799]
[[18, 7, 1], 0.044280767723614216]
[[19, 4, 3], 0.04381750126587841]
[[19, 5, 2], 0.043759103814538236]
[[19, 6, 1], 0.04364296668775266]
[[20, 3, 3], 0.043060686558482185]
[[20, 4, 2], 0.043034429724618746]
[[20, 5, 1], 0.04295591438385036]
[[21, 3, 2], 0.04228097868987917]
[[21, 4, 1], 0.042233826061184865]
[[22, 2, 2], 0.04150993122778099]
[[22, 3, 1], 0.041488686749631166]
[[23, 2, 1], 0.0407303419178981]
[[24, 1, 1], 0.03996671636140453]
[[9, 9, 9], 0.046874999999998834]
[[10, 9, 8], 0.046810933551444014]
[[10, 10, 7], 0.046688795909952556]
[[11, 8, 8], 0.04667957434481666]
[[11, 9, 7], 0.04662148344538104]
[[11, 10, 6], 0.04644929652779403]
[[11, 11, 5], 0.04616902214732284]
[[12, 8, 7], 0.04642276936173311]
[[12, 9, 6], 0.04631448408741306]
[[12, 10, 5], 0.04610135290120855]
[[12, 11, 4], 0.04578990735672895]
[[12, 12, 3], 0.0453891475631388]
[[13, 7, 7], 0.04610176737635027]
[[13, 8, 6], 0.046051407528510724]
[[13, 9, 5], 0.04590174915176436]
[[13, 10, 4], 0.04565693389763981]
[[13, 11, 3], 0.04532347839683824]
[[13, 12, 2], 0.04490976029882747]
[[13, 13, 1], 0.04442541290734784]
[[14, 7, 6], 0.04567202198642394]
[[14, 8, 5], 0.045579797206105624]
[[14, 9, 4], 0.045397601728540016]
[[14, 10, 3], 0.045129786377624145]
[[14, 11, 2], 0.04478250339060511]
[[14, 12, 1], 0.04436330889472518]
[[15, 6, 6], 0.045191835884532953]
[[15, 7, 5], 0.04514963987268491]
[[15, 8, 4], 0.04502394867900718]
[[15, 9, 3], 0.04481740214991312]
[[15, 10, 2], 0.044534235429225175]
[[15, 11, 1], 0.04418004706749755]
[[16, 6, 5], 0.04462793418137345]
[[16, 7, 4], 0.04455151649335449]
[[16, 8, 3], 0.04440007443807676]
[[16, 9, 2], 0.04417633244651154]
[[16, 10, 1], 0.04388422491537465]
[[17, 5, 5], 0.044031965243253965]
[[17, 6, 4], 0.04399733065058657]
[[17, 7, 3], 0.043893971239565455]
[[17, 8, 2], 0.08027522050224956]
[[17, 9, 1], 0.043488547868164]
[[18, 5, 4], 0.04337824591777896]
[[18, 6, 3], 0.08884292209384403]
[[18, 7, 2], 0.04319187993718583]
[[18, 8, 1], 0.043008016223614595]
[[19, 4, 4], 0.042709843403911596]
[[19, 5, 3], 0.04268167002231611]
[[19, 6, 2], 0.042597477709154556]
[[19, 7, 1], 0.042458243299250756]
[[20, 4, 3], 0.04200584681772079]
[[20, 5, 2], 0.04195512744546269]
[[20, 6, 1], 0.04185419839152137]
[[21, 3, 3], 0.041300822511922325]
[[21, 4, 2], 0.041277926476485045]
[[21, 5, 1], 0.04120943814567952]
[[22, 3, 2], 0.040577042600425904]
[[22, 4, 1], 0.04053574848890394]
[[23, 2, 2], 0.039861752822055695]
[[23, 3, 1], 0.03984307238046895]
[[24, 2, 1], 0.03913960817673874]
[[25, 1, 1], 0.0384319933444422]
[[10, 9, 9], 0.04518154453957077]
[[10, 10, 8], 0.045125570920025296]
[[11, 9, 8], 0.04506593246550584]
[[11, 10, 7], 0.04495977817587451]
[[11, 11, 6], 0.04475112545995388]
[[12, 8, 8], 0.04488959454956561]
[[12, 9, 7], 0.04483936949440957]
[[12, 10, 6], 0.04469027038918445]
[[12, 11, 5], 0.04444686432529661]
[[12, 12, 4], 0.04411626011107325]
[[13, 8, 7], 0.04460389007285827]
[[13, 9, 6], 0.04451052012116569]
[[13, 10, 5], 0.04432636621293178]
[[13, 11, 4], 0.044056377848798275]
[[13, 12, 3], 0.043707460818734216]
[[13, 13, 2], 0.04328795075636773]
[[14, 7, 7], 0.04426316781619535]
[[14, 8, 6], 0.11727864041614047]
[[14, 9, 5], 0.04409093628501587]
[[14, 10, 4], 0.04387955638454041]
[[14, 11, 3], 0.0435906449141944]
[[14, 12, 2], 0.043230634956969737]
[[14, 13, 1], 0.042807044199772534]
[[15, 7, 6], 0.04383011657999218]
[[15, 8, 5], 0.04375077484640824]
[[15, 9, 4], 0.043593780747325485]
[[15, 10, 3], 0.04336241340722656]
[[15, 11, 2], 0.04306135225464765]
[[15, 12, 1], 0.0426964163451795]
[[16, 6, 6], 0.0433555088665232]
[[16, 7, 5], 0.04331919081051926]
[[16, 8, 4], 0.04321091029508436]
[[16, 9, 3], 0.04303265618862901]
[[16, 10, 2], 0.04278763840238698]
[[16, 11, 1], 0.04248013797689638]
[[17, 6, 5], 0.042810954266599206]
[[17, 7, 4], 0.042745040054267304]
[[17, 8, 3], 0.04261426554736637]
[[17, 9, 2], 0.042420698795301255]
[[17, 10, 1], 0.08274303834490337]
[[18, 5, 5], 0.042240898364743276]
[[18, 6, 4], 0.04221095383191761]
[[18, 7, 3], 0.042121534894083275]
[[18, 8, 2], 0.04197387329445687]
[[18, 9, 1], 0.04176998127094726]
[[19, 5, 4], 0.04162294043630413]
[[19, 6, 3], 0.04156880518418659]
[[19, 7, 2], 0.04146118193066985]
[[19, 8, 1], 0.041301350352104055]
[[20, 4, 4], 0.04099404510589587]
[[20, 5, 3], 0.04096952182339586]
[[20, 6, 2], 0.04089620641805442]
[[20, 7, 1], 0.04077485778996363]
[[21, 4, 3], 0.040335698476924406]
[[21, 5, 2], 0.04029137751878734]
[[21, 6, 1], 0.04020313524721638]
[[22, 3, 3], 0.03967769938428097]
[[22, 4, 2], 0.03965761668273022]
[[22, 5, 1], 0.03959752673726953]
[[23, 3, 2], 0.03900423375165233]
[[23, 4, 1], 0.038967869251409375]
[[24, 2, 2], 0.03833898439531642]
[[24, 3, 1], 0.0383224720654765]
[[25, 2, 1], 0.03766821280350835]
[[26, 1, 1], 0.03701069094184313]
[[10, 10, 9], 0.04362509400992557]
[[11, 9, 9], 0.043572294130589474]
[[11, 10, 8], 0.043523340288303396]
[[11, 11, 7], 0.0433781264122901]
[[12, 9, 8], 0.04341594761708071]
[[12, 10, 7], 0.043323498609651005]
[[12, 11, 6], 0.043141405983296285]
[[12, 12, 5], 0.04287500000681035]
[[13, 8, 8], 0.04320549110516467]
[[13, 9, 7], 0.04316192954981947]
[[13, 10, 6], 0.04303244226305293]
[[13, 11, 5], 0.04282051648172741]
[[13, 12, 4], 0.04253163318717536]
[[13, 13, 3], 0.042172830242595785]
[[14, 8, 7], 0.04290000521186724]
[[14, 9, 6], 0.04281917003435072]
[[14, 10, 5], 0.042659458743013405]
[[14, 11, 4], 0.042424645550934136]
[[14, 12, 3], 0.04212005225789776]
[[14, 13, 2], 0.04175219331045768]
[[14, 14, 1], 0.04132837831489207]
[[15, 7, 7], 0.042547633158645334]
